Source,Sampled Count,Sampled Share,Sampled Revenue,Revenue per Sampled Ad,Expected Allocation,Allocation Share,Expected Revenue,Revenue per Expected Ad,Mean Nonzero Payment
organic,197,0.6566666666666666,0.0,0.0,193.40385117549167,0.6446795039183055,0.0,0.0,0.0
SunWing Airlines,51,0.17,18.98408962770837,0.3722370515236936,52.22281126641527,0.17407603755471757,19.32779376427899,0.3701025145061232,1.6861369455249096
TropicStay,52,0.17333333333333334,17.714725663897983,0.34066780122880735,54.37333755809311,0.18124445852697704,18.186721567461152,0.33447866885181077,1.44358347674439
WanderBite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NovaSkin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GridPower Bank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
