Source,Sampled Count,Sampled Share,Sampled Revenue,Revenue per Sampled Ad,Expected Allocation,Allocation Share,Expected Revenue,Revenue per Expected Ad,Mean Nonzero Payment
organic,79,0.2633333333333333,0.0,0.0,80.04607196741446,0.26682023989138154,0.0,0.0,0.0
SunWing Airlines,111,0.37,41.63429257260807,0.375083716870343,112.00998204114217,0.37336660680380723,41.8319024415216,0.3734658436616516,1.6972425336381918
TropicStay,110,0.36666666666666664,38.78905546053073,0.3526277769139158,107.94394599144341,0.3598131533048114,37.78033474340553,0.34999957057712466,1.4414341393454027
WanderBite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NovaSkin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GridPower Bank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
