Source,Sampled Count,Sampled Share,Expected Allocation,Allocation Share,Expected Revenue,Revenue per Expected Ad,Mean Nonzero Payment
organic,55,0.18333333333333332,51.55666907494359,0.1718555635831453,0.0,0.0,0.0
SunWing Airlines,56,0.18666666666666668,58.80266090858802,0.19600886969529338,3.469126821277494,0.05899608568174225,0.19108840395190388
TropicStay,61,0.20333333333333334,56.6638195348432,0.18887939844947732,2.203827472308141,0.038893027162649765,0.14060259212069295
WanderBite,41,0.13666666666666666,51.614103979663895,0.1720470132655463,0.8189560155417611,0.015866903663859632,0.06763067750000214
NovaSkin,48,0.16,44.076857763221135,0.1469228592107371,0.9434169024954585,0.021403905595164044,0.08922811596387818
GridPower Bank,39,0.13,37.28588873874021,0.12428629579580071,0.4101087880298748,0.010999034806531777,0.044637016451623504
