Source,Sampled Count,Sampled Share,Expected Allocation,Allocation Share,Expected Revenue,Revenue per Expected Ad,Mean Nonzero Payment
organic,41,0.13666666666666666,42.4548055360935,0.141516018453645,0.0,0.0,0.0
SunWing Airlines,61,0.20333333333333334,64.5997088322047,0.21533236277401566,2.632933462909919,0.04075766765062152,0.16375758523066175
TropicStay,74,0.24666666666666667,65.96551739209698,0.21988505797365662,1.884029447742587,0.028560822718087308,0.11825127006888207
WanderBite,43,0.14333333333333334,52.95798125644762,0.17652660418815871,0.5087041862972466,0.009605807740930684,0.05478835231032562
NovaSkin,50,0.16666666666666666,42.22160947076131,0.14073869823587104,0.49648614616453846,0.011759053062824565,0.07222438692535382
GridPower Bank,31,0.10333333333333333,31.800377512395876,0.10600125837465292,0.1956626399468688,0.006152840162686715,0.03359600459432351
