Advertiser,Reported Revenue,Sampled Ads,Expected Clicks,Expected Click Spend,Per-Click ROI,Surplus per Response,Allocated CTR,CTR Lift
SunWing Airlines,188.86579278541726,111,23.475004637694607,39.894838289297155,1.0594773598561857,0.42267677942634024,0.20957957683692913,1.3440748044310513
TropicStay,162.80964915761683,110,24.400290817526987,35.85120481226615,0.7030270005539283,0.2520436498541203,0.22604594072798828,1.4855235636363306
WanderBite,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NovaSkin,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GridPower Bank,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
