Source,Sampled Count,Sampled Share,Sampled Revenue,Revenue per Sampled Ad,Expected Allocation,Allocation Share,Expected Revenue,Revenue per Expected Ad,Mean Nonzero Payment
organic,197,0.6566666666666666,0.0,0.0,193.40385117549167,0.6446795039183055,0.0,0.0,0.0
SunWing Airlines,51,0.17,86.80911437549032,1.702139497558634,52.22281126641527,0.17407603755471757,88.56988590555571,1.6959999616588126,1.6861369455249096
TropicStay,52,0.17333333333333334,76.20868128218045,1.4655515631188547,54.37333755809311,0.18124445852697704,79.10787603408441,1.4549019719373422,1.44358347674439
WanderBite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NovaSkin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GridPower Bank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
