Mechanism,Revenue per Ad,Soc. Wel.,Relevance,KL Div.,KL x||pi,Num. Ads,Ad User Util./Resp.,Ad User Util./Ad,Per-Click ROI,Adv. Surplus/Resp.,Allocated CTR,CTR Lift
Han-Dai QP w/ repl.,1.64,5.9,2.17,0.02,,2.15,2.4163435800000013,1.1238807348837216,2.570817098563503,1.4321156256715601,0.3241521462410393,1.0122012188959746
Han-Dai QP w/o repl.,1.63,5.42,2.12,0.01,,1.67,1.9206829499999998,1.1501095508982035,1.7700269326830418,1.0594961573307067,0.37223920013319123,1.0012745932615599
Hetero QP w/ repl.,1.5912915925024165,5.551613730460547,0.6405096700469189,0.07600471601715607,0.9422793228069275,2.1995392803258547,3.316265989999999,1.5005728461538457,0.8907665689886518,0.6747204292804606,0.2176605613886968,1.412628537312279
Hetero QP w/o repl.,1.5826970452201048,4.687003287650748,0.6384038192186281,0.033859300662524114,1.160769513826932,1.0659614882450839,1.51097782,1.4669687572815533,0.9042287051074469,0.3226180535904959,0.21229381246434978,1.3673290337149748
