Advertiser,Reported Revenue,Sampled Ads,Expected Clicks,Expected Click Spend,Per-Click ROI,Surplus per Response,Allocated CTR,CTR Lift
SunWing Airlines,86.80911437549034,51,10.836719941417961,18.430849464581968,1.0508980247705308,0.19368943297172186,0.20750931783687995,1.3291189888574684
TropicStay,76.20868128218048,52,11.792982886554126,17.24796185474681,0.7475006131422514,0.12892862061877403,0.21688907498007393,1.404430240717318
WanderBite,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NovaSkin,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GridPower Bank,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
