Source,Sampled Count,Sampled Share,Sampled Revenue,Revenue per Sampled Ad,Expected Allocation,Allocation Share,Expected Revenue,Revenue per Expected Ad,Mean Nonzero Payment
organic,79,0.2633333333333333,0.0,0.0,80.04607196741446,0.26682023989138154,0.0,0.0,0.0
SunWing Airlines,111,0.37,189.6940268757555,1.7089551970788783,112.00998204114217,0.37336660680380723,190.21338871251493,1.6981824766532685,1.6972425336381918
TropicStay,110,0.36666666666666664,161.98141506727856,1.4725583187934415,107.94394599144341,0.3598131533048114,158.13252490946888,1.4649503819510532,1.4414341393454027
WanderBite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NovaSkin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GridPower Bank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
