Source,Sampled Count,Sampled Share,Expected Allocation,Allocation Share,Expected Revenue,Revenue per Expected Ad,Mean Nonzero Payment
organic,79,0.2633333333333333,80.04607196741446,0.26682023989138154,0.0,0.0,0.0
SunWing Airlines,111,0.37,112.00998204114217,0.37336660680380723,39.894838289297155,0.3561721693218687,1.6972425336381918
TropicStay,110,0.36666666666666664,107.94394599144341,0.3598131533048114,35.85120481226615,0.3321279807123971,1.4414341393454027
WanderBite,0,0.0,0.0,0.0,0.0,0.0,0.0
NovaSkin,0,0.0,0.0,0.0,0.0,0.0,0.0
GridPower Bank,0,0.0,0.0,0.0,0.0,0.0,0.0
